 W Density=19.3
 Energy(eV), Delta, Beta
  1482.82056  0.000875945203  0.000226288088
  1498.11938  0.000852918543  0.000219102119
  1513.57605  0.000830010918  0.000212113999
  1529.19202  0.000807068602  0.000205342818
  1544.96936  0.00078434468  0.000198786089
  1560.90918  0.000761491247  0.000192439111
  1577.01367  0.000738546776  0.000186292164
  1593.2843  0.000715736183  0.000180340052
  1609.72278  0.000692349451  0.000174575413
  1626.33081  0.000668766734  0.00016899535
  1643.11035  0.000645074062  0.000163593795
  1660.06274  0.000620041043  0.000158359398
  1677.19019  0.000594500161  0.000153292174
  1694.49438  0.000567961892  0.000148387
  1711.97705  0.000538620225  0.000143640107
  1729.64014  0.000507469987  0.000139035052
  1747.48547  0.000471827894  0.000134549773
  1765.51489  0.000425332953  0.000130203611
  1783.73022  0.000339142862  0.000125995459
  1802.13367  3.249168E-05  0.000121923025
  1820.72681  0.000175153808  0.000358129822
  1839.51184  0.000326382666  0.000347370136
  1858.49072  0.000274016231  0.000336933648
  1877.66541  0.000156273949  0.000483697106
  1897.03796  0.00037006475  0.000466965721
  1916.61035  0.000421808392  0.000450813357
  1936.38477  0.000447459432  0.000435219787
  1956.36316  0.000462996773  0.000420165452
  1976.54761  0.000473145337  0.000405630039
  1996.94019  0.000480781484  0.000391595851
  2017.54346  0.000484683638  0.000378108612
  2038.35913  0.000486866076  0.000365050131
  2059.3894  0.000487429352  0.000352413394
  2080.63696  0.000486646692  0.00034021688
  2102.10376  0.000484476477  0.000328441616
  2123.79175  0.000481222116  0.00031707919
  2145.70361  0.000477081223  0.000306105387
  2167.84155  0.000471999025  0.000295508187
  2190.20801  0.000466057623  0.000285281218
  2212.80518  0.000458560942  0.000275408645
  2235.63525  0.0004489251  0.000265876151
  2258.70117  0.000430899177  0.000256671483
  2282.00488  0.000364996202  0.000288786978
  2305.54907  0.000429345324  0.00027836347
  2329.33643  0.000433562673  0.000268315693
  2353.3689  0.000433676963  0.000258627813
  2377.64941  0.000431647408  0.000249292469
  2402.18066  0.000428413565  0.000240298396
  2426.9646  0.000424258033  0.000231624479
  2452.00439  0.000419333199  0.000223263225
  2477.30249  0.000413857604  0.0002152097
  2502.86182  0.000407774991  0.000207446836
  2528.68457  0.000400925404  0.000199960312
  2554.77393  0.000392079033  0.00019274943
  2581.13257  0.000373249146  0.000198532114
  2607.76294  0.000383154926  0.00019151374
  2634.66821  0.000380349346  0.000184745237
  2661.85083  0.000376089447  0.000178219954
  2689.31421  0.000371129514  0.000171930238
  2717.06055  0.000365780026  0.000165859456
  2745.09351  0.000360071543  0.00016000263
  2773.41577  0.000353847339  0.000154353533
  2802.03003  0.000346786983  0.000148904903
  2830.93945  0.000337207894  0.000150165957
  2860.14722  0.00033769646  0.000145056343
  2889.65625  0.000333686592  0.000140115619
  2919.46997  0.000329126546  0.000135336973
  2949.59106  0.000324334862  0.000130718952
  2980.02295  0.000319416693  0.000126247891
  3010.7688  0.000314451725  0.000121927747
  3041.83203  0.000309464172  0.000117751129
  3073.21558  0.000304471469  0.000113711205
  3104.9231  0.000299471663  0.000109802299
  3136.95752  0.000294477621  0.00010602465
  3169.323  0.000289512041  0.000102375008
  3202.02197  0.000284578622  9.88471074E-05
  3235.05811  0.000279680273  9.54346615E-05
  3268.4353  0.000274813181  9.21401952E-05
  3302.15698  0.000269989105  8.89550865E-05
  3336.22656  0.000265212933  8.58774438E-05
  3370.64746  0.000260488654  8.29043274E-05
  3405.42358  0.00025581746  8.00322159E-05
  3440.55835  0.000251191581  7.72543062E-05
  3476.05591  0.000246622716  7.45738434E-05
  3511.91968  0.000242112452  7.19830496E-05
  3548.15332  0.000237661399  6.94788614E-05
  3584.76074  0.000233267987  6.70616209E-05
  3621.74609  0.000228929915  6.47269189E-05
  3659.11279  0.000224653908  6.24714885E-05
  3696.86499  0.000220439761  6.02936198E-05
  3735.00684  0.000216288419  5.81908571E-05
  3773.54224  0.000212197585  5.61587476E-05
  3812.47534  0.000208165395  5.41966656E-05
  3851.80981  0.000204196389  5.23026501E-05
  3891.55005  0.000200290495  5.04740565E-05
  3931.70068  0.000196447334  4.87081234E-05
  3972.26538  0.000192663807  4.70019368E-05
  4013.24902  0.000188940467  4.53546527E-05
  4054.65503  0.000185278841  4.37645285E-05
  4096.48828  0.000181678319  4.2229367E-05
  4138.75293  0.000178138871  4.07470143E-05
  4181.45361  0.000174656874  3.93160481E-05
  4224.59521  0.000171234584  3.79348894E-05
  4268.18213  0.000167871563  3.66013446E-05
  4312.21826  0.00016456742  3.53138239E-05
  4356.70898  0.000161321106  3.40710758E-05
  4401.65869  0.000158129886  3.28712922E-05
  4447.07178  0.000154995883  3.17133781E-05
  4492.9541  0.000151918153  3.05957292E-05
  4539.30957  0.000148895793  2.95168775E-05
  4586.14307  0.000145927814  2.84754278E-05
  4633.45947  0.000143012629  2.74703234E-05
  4681.26465  0.000140151082  2.65002182E-05
  4729.56299  0.000137342344  2.55639552E-05
  4778.35986  0.000134585454  2.4660385E-05
  4827.65967  0.000131879264  2.37882996E-05
  4877.46826  0.000129222593  2.29464549E-05
  4927.79053  0.000126615763  2.21340324E-05
  4978.63232  0.000124058017  2.13501917E-05
  5029.99902  0.000121548532  2.05939668E-05
  5036.96143  0.000121213736  2.04940716E-05
  5043.93262  0.0001208799  2.0394662E-05
  5050.91406  0.00012054696  2.02957017E-05
  5057.90479  0.000120214965  2.01972562E-05
  5064.90527  0.000119883865  2.00992872E-05
  5071.91553  0.000119553682  2.00017585E-05
  5078.93506  0.000119224424  1.99047427E-05
  5085.96436  0.000118896067  1.98081962E-05
  5093.00342  0.000118568452  1.97121008E-05
  5100.05273  0.000118241303  1.96164146E-05
  5107.11133  0.000117915079  1.95212233E-05
  5114.17969  0.000117589741  1.9426494E-05
  5121.25781  0.000117265314  1.93321957E-05
  5128.3457  0.000116941781  1.9238385E-05
  5135.44385  0.000116619114  1.91450199E-05
  5142.55176  0.000116297349  1.90521132E-05
  5149.66895  0.000115976487  1.89596358E-05
  5156.79688  0.000115656483  1.88676295E-05
  5163.93359  0.000115336967  1.87759906E-05
  5171.08105  0.000115018207  1.86847556E-05
  5178.23828  0.000114700342  1.85939862E-05
  5185.40479  0.000114383372  1.85036661E-05
  5192.58154  0.000114067276  1.84137771E-05
  5199.76807  0.000113752045  1.83243319E-05
  5206.96484  0.00011343768  1.82352887E-05
  5214.17188  0.000113124181  1.81467021E-05
  5221.38818  0.000112811569  1.80585521E-05
  5228.61475  0.000112499532  1.79707895E-05
  5235.85156  0.0001121881  1.78834671E-05
  5243.09814  0.000111877533  1.77965703E-05
  5250.35498  0.00011156781  1.77100956E-05
  5257.62158  0.00011125896  1.76240173E-05
  5264.89844  0.000110950961  1.75383793E-05
  5272.18506  0.000110643814  1.74531615E-05
  5279.48193  0.000110337518  1.73683547E-05
  5286.78955  0.000110032051  1.72839336E-05
  5294.10645  0.000109727451  1.71999545E-05
  5301.43359  0.000109423214  1.7116321E-05
  5308.771  0.000109119828  1.70330695E-05
  5316.11914  0.000108817265  1.69502491E-05
  5323.47656  0.00010851556  1.68678325E-05
  5330.84473  0.000108214692  1.67857906E-05
  5338.22266  0.000107914653  1.67041762E-05
  5345.61084  0.000107615451  1.66229565E-05
  5353.00977  0.000107317057  1.65421279E-05
  5360.41846  0.000107019521  1.6461674E-05
  5367.83691  0.000106722524  1.6381613E-05
  5375.2666  0.000106426138  1.63019231E-05
  5382.70654  0.000106130581  1.62226224E-05
  5390.15625  0.000105835868  1.61436874E-05
  5397.61621  0.000105541971  1.6065158E-05
  5405.08691  0.000105248881  1.59870087E-05
  5412.56787  0.000104956605  1.59092397E-05
  5420.05859  0.000104665167  1.58318326E-05
  5427.56055  0.000104374492  1.57548184E-05
  5435.07275  0.000104084524  1.56781662E-05
  5442.59521  0.000103795057  1.56018286E-05
  5450.12793  0.000103506405  1.55258858E-05
  5457.67139  0.000103218546  1.54503123E-05
  5465.22461  0.00010293151  1.53751098E-05
  5472.78906  0.000102645245  1.53002456E-05
  5480.36328  0.000102359802  1.52257744E-05
  5487.94873  0.000102075122  1.51516597E-05
  5495.54395  0.000101791265  1.50779106E-05
  5503.15039  0.000101508158  1.50044943E-05
  5510.7666  0.000101225516  1.49314483E-05
  5518.39404  0.00010094358  1.48587533E-05
  5526.03125  0.000100662459  1.47864112E-05
