 Be Density=1.848
 Energy(eV), Delta, Beta
  2607.76294  5.0486582E-05  2.29167568E-07
  2634.66821  4.94538981E-05  2.19722395E-07
  2661.85083  4.84424199E-05  2.10667153E-07
  2689.31421  4.74518311E-05  2.01986637E-07
  2717.06055  4.64815457E-05  1.93663908E-07
  2745.09351  4.55311274E-05  1.85684229E-07
  2773.41577  4.46002668E-05  1.78034625E-07
  2802.03003  4.36885348E-05  1.70701E-07
  2830.93945  4.27955638E-05  1.63670236E-07
  2860.14722  4.19208991E-05  1.56929659E-07
  2889.65625  4.10641696E-05  1.50467329E-07
  2919.46997  4.02250953E-05  1.4427215E-07
  2949.59106  3.94032031E-05  1.38332808E-07
  2980.02295  3.85981511E-05  1.32638533E-07
  3010.7688  3.78097029E-05  1.27178765E-07
  3041.83203  3.70373964E-05  1.21903255E-07
  3073.21558  3.6280886E-05  1.16815883E-07
  3104.9231  3.55398843E-05  1.11942178E-07
  3136.95752  3.48140638E-05  1.07272086E-07
  3169.323  3.41031191E-05  1.02796761E-07
  3202.02197  3.34067518E-05  9.85094317E-08
  3235.05811  3.27246416E-05  9.44016634E-08
  3268.4353  3.20565232E-05  9.04659601E-08
  3302.15698  3.14020836E-05  8.66948326E-08
  3336.22656  3.07610353E-05  8.3081396E-08
  3370.64746  3.01331547E-05  7.96189426E-08
  3405.42358  2.9518118E-05  7.63014114E-08
  3440.55835  2.89156524E-05  7.31227416E-08
  3476.05591  2.83255249E-05  7.00769718E-08
  3511.91968  2.77474846E-05  6.7158517E-08
  3548.15332  2.7181286E-05  6.4362311E-08
  3584.76074  2.66267198E-05  6.1683167E-08
  3621.74609  2.60834713E-05  5.91161609E-08
  3659.11279  2.55513078E-05  5.6656674E-08
  3696.86499  2.50300654E-05  5.42998855E-08
  3735.00684  2.45194806E-05  5.20416847E-08
  3773.54224  2.40193385E-05  4.98780324E-08
  3812.47534  2.35294483E-05  4.78048925E-08
  3851.80981  2.30495807E-05  4.58185312E-08
  3891.55005  2.25795338E-05  4.3915346E-08
  3931.70068  2.21190858E-05  4.20916138E-08
  3972.26538  2.16680455E-05  4.03442115E-08
  4013.24902  2.12262312E-05  3.86697678E-08
  4054.65503  2.07934427E-05  3.70651065E-08
  4096.48828  2.03694999E-05  3.55275418E-08
  4138.75293  1.99542537E-05  3.40434454E-08
  4181.45361  1.9547495E-05  3.26200862E-08
  4224.59521  1.91490417E-05  3.12567785E-08
  4268.18213  1.8758712E-05  2.99509573E-08
  4312.21826  1.83763514E-05  2.87002191E-08
  4356.70898  1.80018287E-05  2.75022352E-08
  4401.65869  1.76349422E-05  2.6354666E-08
  4447.07178  1.72755354E-05  2.52555132E-08
  4492.9541  1.69235027E-05  2.42027198E-08
  4539.30957  1.65786441E-05  2.31943158E-08
  4586.14307  1.62408123E-05  2.22284307E-08
  4633.45947  1.59099145E-05  2.13031974E-08
  4681.26465  1.55857597E-05  2.04169854E-08
  4729.56299  1.52682078E-05  1.95681746E-08
  4778.35986  1.49571451E-05  1.87551219E-08
  4827.65967  1.46524326E-05  1.79763191E-08
  4877.46826  1.43539446E-05  1.72302901E-08
  4927.79053  1.40615521E-05  1.65156528E-08
  4978.63232  1.37751249E-05  1.58311497E-08
  5029.99902  1.34945512E-05  1.5175436E-08
  5036.96143  1.3457181E-05  1.50892188E-08
  5043.93262  1.34199172E-05  1.50035042E-08
  5050.91406  1.33827552E-05  1.4918248E-08
  5057.90479  1.33456997E-05  1.48335211E-08
  5064.90527  1.33087487E-05  1.47492756E-08
  5071.91553  1.32718988E-05  1.46654964E-08
  5078.93506  1.32351533E-05  1.45822314E-08
  5085.96436  1.3198508E-05  1.44994408E-08
  5093.00342  1.31619645E-05  1.4417135E-08
  5100.05273  1.3125521E-05  1.43352699E-08
  5107.11133  1.30891804E-05  1.42539118E-08
  5114.17969  1.30529397E-05  1.41730272E-08
  5121.25781  1.30167982E-05  1.40925751E-08
  5128.3457  1.29807586E-05  1.40126186E-08
  5135.44385  1.29448163E-05  1.3933124E-08
  5142.55176  1.29089749E-05  1.38540894E-08
  5149.66895  1.28732327E-05  1.37754883E-08
  5156.79688  1.28375877E-05  1.36973695E-08
  5163.93359  1.28020456E-05  1.36197009E-08
  5171.08105  1.27665971E-05  1.35424569E-08
  5178.23828  1.27312487E-05  1.3465681E-08
  5185.40479  1.26960003E-05  1.33893563E-08
  5192.58154  1.26608484E-05  1.33134632E-08
  5199.76807  1.26257928E-05  1.32380187E-08
  5206.96484  1.25908346E-05  1.31629765E-08
  5214.17188  1.25559727E-05  1.30883935E-08
  5221.38818  1.25212091E-05  1.30140831E-08
  5228.61475  1.24865437E-05  1.29398394E-08
  5235.85156  1.24519729E-05  1.28660469E-08
  5243.09814  1.24175003E-05  1.2792694E-08
  5250.35498  1.23831205E-05  1.27197586E-08
  5257.62158  1.23488371E-05  1.26472255E-08
  5264.89844  1.23146483E-05  1.25751365E-08
  5272.18506  1.22805559E-05  1.25034747E-08
  5279.48193  1.22465563E-05  1.24322233E-08
  5286.78955  1.22126476E-05  1.23613608E-08
  5294.10645  1.2178838E-05  1.22909363E-08
  5301.43359  1.21451203E-05  1.22209283E-08
  5308.771  1.21114972E-05  1.21512969E-08
  5316.11914  1.20779669E-05  1.20820962E-08
  5323.47656  1.20445311E-05  1.2013297E-08
  5330.84473  1.20111872E-05  1.19448726E-08
  5338.22266  1.19779361E-05  1.18768764E-08
  5345.61084  1.19447777E-05  1.18092691E-08
  5353.00977  1.19117094E-05  1.1742058E-08
  5360.41846  1.18787339E-05  1.16752146E-08
  5367.83691  1.18458511E-05  1.16087859E-08
  5375.2666  1.18130574E-05  1.15427357E-08
  5382.70654  1.1780352E-05  1.14770753E-08
  5390.15625  1.17477412E-05  1.14117729E-08
  5397.61621  1.17152231E-05  1.13468657E-08
  5405.08691  1.16827923E-05  1.12823395E-08
  5412.56787  1.16504543E-05  1.12181837E-08
  5420.05859  1.16182055E-05  1.11543832E-08
  5427.56055  1.1586043E-05  1.10909699E-08
  5435.07275  1.15539706E-05  1.10279261E-08
  5442.59521  1.15219864E-05  1.09652296E-08
  5450.12793  1.14900931E-05  1.09029186E-08
  5457.67139  1.14582863E-05  1.08409735E-08
  5465.22461  1.14265695E-05  1.07793854E-08
  5472.78906  1.13949372E-05  1.07181339E-08
  5480.36328  1.13633978E-05  1.06572653E-08
  5487.94873  1.13319429E-05  1.05967475E-08
  5495.54395  1.13005781E-05  1.05365894E-08
  5503.15039  1.12692978E-05  1.04767546E-08
  5510.7666  1.12381067E-05  1.04172937E-08
  5518.39404  1.12069993E-05  1.03581721E-08
  5526.03125  1.11759819E-05  1.02994004E-08
  5533.68018  1.11450454E-05  1.02409441E-08
  5541.33838  1.1114199E-05  1.01828546E-08
  5549.0083  1.10834335E-05  1.01250999E-08
  5556.68799  1.10527571E-05  1.00676596E-08
